course_name,instructor,course_description,avg_rating,reviews_count,course_hours,lectures_count,level,price_after_discount,main_price,Bestseller,student_count,
"Git Complete: The definitive, step-by-step guide to Git",Jason Taylor,Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,4.4,25696,6.5,85,All,270,1300,No,118596,
JavaScript Basics for Beginners,Mosh Hamedani,JavaScript - Master the Fundamentals in 6 Hours,4.6,25137,6.5,105,Beginner,270,750,Yes,101097,
Python A-Z™: Python For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team","Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",4.6,25057,11,72,All,320,1600,No,148263,
Ethereum and Solidity: The Complete Developer's Guide,Stephen Grider,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",4.6,24084,24,266,All,320,680,Yes,127649,
Modern HTML & CSS From The Beginning (Including Sass),Brad Traversy,"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",4.7,24014,21,129,All,320,720,No,75713,
"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)","Andrei Neagoie, Yihua Zhang, Zero To Mastery","Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",4.6,23745,39.5,328,All,320,1600,No,119422,
Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,"Andrew Eddy, Margot Dukes","Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",4.6,23506,5.5,58,Beginner,230,680,No,81402,
JavaScript - The Complete Guide 2023 (Beginner + Advanced),"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2023.,4.6,23317,52.5,617,All,320,1400,No,120320,
Python for Absolute Beginners,Green Chameleon Learning,Learn Python programming from scratch with hands-on exercises in this Python course!,4.5,23288,4.5,112,Beginner,230,480,No,179020,
The Complete Python Programming Course: Beginner to Advanced,"Joseph Delgadillo, Nick Germaine","Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",4.1,23247,18,147,All,270,1300,No,576628,
PHP for Beginners - Become a PHP Master - CMS Project,"Edwin Diaz, Coding Faculty Solutions",PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,4.4,22828,37,336,All,270,1400,Yes,114458,
Angular & NodeJS - The MEAN Stack Guide [2023 Edition],Maximilian Schwarzmüller,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,4.6,22796,13,152,All,270,850,Yes,115654,
Complete C# Masterclass,"Denis Panjuta, Tutorials.eu by Denis Panjuta","Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. More than just the C# basics!",4.5,22403,37,282,All,270,1400,No,99148,
The Complete React Developer Course (w/ Hooks and Redux),Andrew Mead,"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",4.5,22211,39,200,Beginner,270,720,No,81790,
Alteryx Bootcamp,Hendrik Kleine,Learn Alteryx in as little as 4 hours with this Bestselling Alteryx Course (+90 minutes of advanced bonus content),4.6,22051,6.5,95,Beginner,270,600,Yes,57255,
JavaScript Algorithms and Data Structures Masterclass,Colt Steele,The Missing Computer Science and Coding Interview Bootcamp,4.7,21915,22,248,All,270,750,No,119311,
Artificial Intelligence A-Z™: Learn How To Build An AI,"Hadelin de Ponteves, Kirill Eremenko, Ligency I Team, Luka Anicin, Ligency Team, Jordan Sauchuk","Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",4.4,21744,17,125,All,270,1300,Yes,187296,
Kubernetes Certified Application Developer (CKAD) with Tests,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",Learn concepts and practice for the Kubernetes Certification with hands-on labs right in your browser - DevOps - CKAD,4.7,21706,15,184,All,350,1700,Yes,133502,
The Complete Java Certification Course,Imtiaz Ahmad,Become a confident industry ready core Java developer and get certified as a Java professional!,4.5,21594,17.5,64,All,270,1300,No,77201,
Learn and Understand AngularJS,Anthony Alicea,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",4.6,21149,7,55,All,270,1300,Yes,94730,
Python for beginners,Bharath Thippireddy,Master the fundamentals of Python while working on various usecases in easy steps,4.4,21115,14,299,All,270,320,No,229912,
Microsoft SQL for Beginners,Brewster Knowlton,A comprehensive course to teach you how to complete SQL queries using Microsoft SQL Server and the T-SQL language.,4.5,20991,4,39,Beginner,320,450,Yes,77317,
Learn How To Code: Google's Go (golang) Programming Language,Todd McLeod,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,4.5,20218,45.5,368,All,320,350,No,134362,
Java In-Depth: Become a Complete Java Engineer!,Dheeru Mundluru,"Comprehensive Java programming course integrated with design principles, best practices & instructor-led Java EE project",4.5,20133,68,377,All,270,680,No,112484,
Spark and Python for Big Data with PySpark,Jose Portilla,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",4.5,19971,10.5,67,Intermediate,320,1400,Yes,107404,
Become a WordPress Developer: Unlocking Power With Code,Brad Schiff,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",4.7,19710,42,196,All,320,1600,Yes,86876,
Build an app with ASPNET Core and Angular from scratch,Neil Cummings,A practical example of how to build an application with ASP.NET Core API and Angular from start to finish,4.6,19588,30,265,Beginner,270,1300,Yes,86411,
C# Advanced Topics: Prepare for Technical Interviews,Mosh Hamedani,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",4.6,19553,3,21,Intermediate,320,850,No,108118,
MongoDB - The Complete Developer's Guide 2023,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",4.6,19252,17.5,266,All,270,1000,Yes,134388,
REST APIs with Flask and Python in 2022,"Jose Salvatierra, Teclado by Jose Salvatierra","Build professional REST APIs with Python, Flask, Docker, Flask-Smorest, and Flask-SQLAlchemy",4.6,18717,12,122,Intermediate,320,730,Yes,103461,
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,Abdul Bari,"Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and Industry",4.6,18696,30.5,279,All,270,1300,No,60055,
Learning Python for Data Analysis and Visualization,Jose Portilla,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",4.3,18398,21,110,All,320,1600,Yes,192912,
The Complete Python Course | Learn Python by Doing in 2022,"Codestars • over 2 million students worldwide!, Jose Salvatierra, Rob Percival, Teclado by Jose Salvatierra",Go from Beginner to Expert in Python by building projects. The best investment for your Python journey!,4.6,18297,35.5,346,All,270,1300,No,74348,
Data Analysis with Pandas and Python,Boris Paskhaver,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,4.6,18059,22,206,All,200,230,Yes,173173,
Complete Guide to Elasticsearch,Bo Andersen,"Learn Elasticsearch from scratch and begin learning the ELK stack (Elasticsearch, Logstash & Kibana) and Elastic Stack.",4.5,17857,12,140,All,270,780,Yes,99624,
Spring Framework 5: Beginner to Guru,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy","Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate",4.5,17822,57.5,525,All,270,1400,No,94817,
Angular Crash Course for Busy Developers,Mosh Hamedani,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,4.5,17789,10.5,137,All,230,1000,No,74239,
The Complete Android Oreo Developer Course - Build 23 Apps!,"Rob Percival, Nick Walter, Codestars • over 2 million students worldwide!","Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",4.4,17211,37.5,272,All,270,1400,No,87895,
The Ultimate Guide to Game Development with Unity (Official),"Jonathan Weinberger, Unity Technologies",Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,4.6,17124,36.5,521,Beginner,320,1400,Yes,82953,
The Complete 2022 Software Testing Bootcamp,"T Roshdy, Nezam Academy, Nezam Team",Everything you need to learn about software testing.,4.6,17049,27,310,Beginner,320,420,Yes,96722,
Python for Financial Analysis and Algorithmic Trading,Jose Portilla,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",4.6,16833,16.5,120,All,320,1600,Yes,113486,
Git Going Fast: One Hour Git Crash Course,Jason Taylor,"Learn the key concepts and basic workflow for Git and GitHub with this easy to follow, top rated, bootcamp-style course!",4.4,16690,1.5,33,Beginner,200,230,No,99058,
Learn Python & Ethical Hacking From Scratch,"Zaid Sabih, z Security",Start from 0 & learn both topics simultaneously from scratch by writing 20+ hacking programs,4.7,16567,25,183,All,320,1600,No,98104,
Complete Guide to TensorFlow for Deep Learning with Python,Jose Portilla,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,4.2,16543,14,96,Intermediate,270,1300,No,93119,
Apache Spark with Scala - Hands On with Big Data!,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",4.5,16242,9,69,All,200,230,No,87278,
Bootstrap 4 From Scratch With 5 Projects,Brad Traversy,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,4.5,16220,11.5,74,All,320,850,No,68112,
Selenium 4 WebDriver with Java(Basics + Advance + Architect),Rahul Arora,"#1 2022 TOP RATED, BEST SELLER Course on SELENIUM 4.0, Trusted by 500,000+ students with Many Live Projects & Frameworks",4.5,16206,143,462,All,200,230,No,147225,
The Ultimate Excel Programmer Course,Daniel Strong,"Learn Excel VBA from Scratch with Dan Strong, Bestselling Excel Expert with Over 180K Students Worldwide!",4.6,15746,30.5,279,All,270,1400,Yes,113384,
"Understanding Jira for users, managers and admins",Dan LeFebvre,Everything you need to know to get started with Atlassian's powerful agile project management and issue tracker tool.,4.5,15591,6.5,59,All,270,730,No,58692,
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Maximilian Schwarzmüller,"Build Native iOS & Android as well as Progressive Web Apps with Angular, Capacitor and the Ionic Framework (Ionic 4+).",4.7,15556,20.5,290,All,270,1400,Yes,67732,
Data Science and Machine Learning Bootcamp with R,Jose Portilla,Learn how to use the R programming language for data science and machine learning and data visualization!,4.7,15440,18,128,All,350,1600,No,85246,
WebServices/Rest API Testing with SoapUI +Real time Projects,Rahul Shetty,"""Most Popular #1 SoapUI Test automation Course - ""70,000+ students learning together with great collaboration""",4.5,15234,12.5,74,All,270,1300,Yes,75129,
Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,Rahul Shetty,[LATEST VERSION 2.0] Master on Mobile Apps Automation Testing from basics to Framework CI/CD with real time examples,4.5,15158,25.5,154,All,320,1400,Yes,81699,
Javascript for Beginners Learn by Doing Practical Exercises,"Edwin Diaz, Coding Faculty Solutions",JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,4.4,14969,4,31,All,230,720,No,36987,
"MERN Stack Front To Back: Full Stack React, Redux & Node.js",Brad Traversy,"Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",4.5,14900,12,73,Intermediate,320,850,No,59409,
The Complete Oracle SQL Bootcamp (2022),"Oracle Master Training | 175,000+ Students Worldwide, Code Star Academy",Become an In-demand SQL Professional! Pass Oracle SQL 1Z0-071 (OCA) Certification Exam Confidently!,4.6,14672,33.5,351,All,270,1300,Yes,60304,
Learn HTML5 Programming From Scratch,Eduonix Learning Solutions,A Complete HTML5 Programming Course for Beginners,4.2,14632,17,72,All,230,270,No,318855,
The Complete WordPress Website Business Course,"Rob Percival, Gregg Davis, Codestars • over 2 million students worldwide!","Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",4.2,14561,22,116,All,320,850,No,77003,
